# Inkling canonical manifest — step 4 of proj-2026-07-15-1700
# Initial full-run dir: runs/inkling-sweep-20260716-025854  |  0 infra failures → all 25/config are canonical (no reruns, no separate attempt dirs)
config	round	json_path	success	terminal_reason	turns_executed	empty_response_count	rate_limit_count
inkling-high	r11	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r11.json	True	finished_tool	34	0	0
inkling-high	r12	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r12.json	True	finished_tool	31	0	0
inkling-high	r13	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r13.json	True	finished_tool	29	0	0
inkling-high	r14	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r14.json	True	finished_tool	33	0	0
inkling-high	r15	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r15.json	True	finished_tool	31	0	0
inkling-high	r16	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r16.json	True	finished_tool	33	0	0
inkling-high	r17	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r17.json	True	finished_tool	29	0	0
inkling-high	r18	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r18.json	True	finished_tool	33	0	0
inkling-high	r19	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r19.json	True	finished_tool	33	0	0
inkling-high	r20	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r20.json	True	finished_tool	32	0	0
inkling-high	r21	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r21.json	True	finished_tool	30	0	0
inkling-high	r22	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r22.json	True	finished_tool	33	0	0
inkling-high	r23	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r23.json	True	finished_tool	28	0	0
inkling-high	r24	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r24.json	True	finished_tool	31	0	0
inkling-high	r25	runs/inkling-sweep-20260716-025854/inkling-high/inkling-high-r25.json	True	finished_tool	33	0	0
inkling-max	r01	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r01.json	True	finished_tool	30	0	0
inkling-max	r02	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r02.json	True	finished_tool	34	0	0
inkling-max	r03	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r03.json	True	finished_tool	31	0	0
inkling-max	r04	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r04.json	True	finished_tool	31	0	0
inkling-max	r05	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r05.json	True	finished_tool	30	0	0
inkling-max	r06	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r06.json	True	finished_tool	31	0	0
inkling-max	r07	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r07.json	True	finished_tool	33	0	0
inkling-max	r08	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r08.json	True	finished_tool	33	0	0
inkling-max	r09	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r09.json	True	finished_tool	28	0	0
inkling-max	r10	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r10.json	True	finished_tool	32	0	0
inkling-max	r11	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r11.json	True	finished_tool	38	0	0
inkling-max	r12	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r12.json	True	finished_tool	31	0	0
inkling-max	r13	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r13.json	True	finished_tool	32	0	0
inkling-max	r14	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r14.json	True	finished_tool	31	0	0
inkling-max	r15	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r15.json	True	finished_tool	28	0	0
inkling-max	r16	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r16.json	True	finished_tool	35	0	0
inkling-max	r17	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r17.json	True	finished_tool	32	0	0
inkling-max	r18	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r18.json	True	finished_tool	31	0	0
inkling-max	r19	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r19.json	True	finished_tool	30	0	0
inkling-max	r20	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r20.json	True	finished_tool	31	0	0
inkling-max	r21	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r21.json	True	finished_tool	33	0	0
inkling-max	r22	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r22.json	True	finished_tool	33	0	0
inkling-max	r23	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r23.json	True	finished_tool	33	0	0
inkling-max	r24	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r24.json	True	finished_tool	32	0	0
inkling-max	r25	runs/inkling-sweep-20260716-025854/inkling-max/inkling-max-r25.json	True	finished_tool	32	0	0
